State Code,Population,Year
00,331526933,2019
00,57430477,2019
00,15057898,2019
00,42372579,2019
00,68969794,2019
00,47345074,2019
00,21624720,2019
00,126465281,2019
00,66174797,2019
00,19424519,2019
00,40865965,2019
00,78661381,2019
00,25004426,2019
00,53656955,2019
01,5031864,2019
02,732964,2019
04,7186683,2019
05,3014348,2019
06,39503200,2019
08,5785219,2019
09,3577586,2019
10,991862,2019
11,670839,2019
12,21591299,2019
13,10732390,2019
15,1451181,2019
16,1849339,2019
17,12790357,2019
18,6789098,2019
19,3190904,2019
20,2938124,2019
21,4508155,2019
22,4652022,2019
23,1364517,2019
24,6173689,2019
25,6997713,2019
26,10070627,2019
27,5710578,2019
28,2958409,2019
29,6154426,2019
30,1087211,2019
31,1963273,2019
32,3115840,2019
33,1378702,2019
34,9272392,2019
35,2118488,2019
36,20104710,2019
37,10453812,2019
38,779563,2019
39,11798292,2019
40,3965234,2019
41,4245044,2019
42,12995477,2019
44,1096444,2019
45,5132151,2019
46,887852,2019
47,6926091,2019
48,29234361,2019
49,3283982,2019
50,642936,2019
51,8637193,2019
53,7724566,2019
54,1791562,2019
55,5896700,2019
56,577664,2019
72,3281557,2019
