State Code,Population,Year
00,331526933,2018
00,57430477,2018
00,15057898,2018
00,42372579,2018
00,68969794,2018
00,47345074,2018
00,21624720,2018
00,126465281,2018
00,66174797,2018
00,19424519,2018
00,40865965,2018
00,78661381,2018
00,25004426,2018
00,53656955,2018
01,5031864,2018
02,732964,2018
04,7186683,2018
05,3014348,2018
06,39503200,2018
08,5785219,2018
09,3577586,2018
10,991862,2018
11,670839,2018
12,21591299,2018
13,10732390,2018
15,1451181,2018
16,1849339,2018
17,12790357,2018
18,6789098,2018
19,3190904,2018
20,2938124,2018
21,4508155,2018
22,4652022,2018
23,1364517,2018
24,6173689,2018
25,6997713,2018
26,10070627,2018
27,5710578,2018
28,2958409,2018
29,6154426,2018
30,1087211,2018
31,1963273,2018
32,3115840,2018
33,1378702,2018
34,9272392,2018
35,2118488,2018
36,20104710,2018
37,10453812,2018
38,779563,2018
39,11798292,2018
40,3965234,2018
41,4245044,2018
42,12995477,2018
44,1096444,2018
45,5132151,2018
46,887852,2018
47,6926091,2018
48,29234361,2018
49,3283982,2018
50,642936,2018
51,8637193,2018
53,7724566,2018
54,1791562,2018
55,5896700,2018
56,577664,2018
72,3281557,2018
