State Code,Population,Year
00,332048977,"2021"
00,57243423,"2021"
00,15106108,"2021"
00,42137315,"2021"
00,68850246,"2021"
00,47187461,"2021"
00,21662785,"2021"
00,127353282,"2021"
00,66673601,"2021"
00,19471271,"2021"
00,41208410,"2021"
00,78602026,"2021"
00,25277400,"2021"
00,53324626,"2021"
01,5050380,"2021"
02,734923,"2021"
04,7272487,"2021"
05,3028443,"2021"
06,39145060,"2021"
08,5811596,"2021"
09,3603691,"2021"
10,1004881,"2021"
11,669037,"2021"
12,21830708,"2021"
13,10790385,"2021"
15,1446745,"2021"
16,1904537,"2021"
17,12690341,"2021"
18,6813798,"2021"
19,3197944,"2021"
20,2937946,"2021"
21,4507600,"2021"
22,4627047,"2021"
23,1378787,"2021"
24,6175045,"2021"
25,6991951,"2021"
26,10038117,"2021"
27,5717968,"2021"
28,2949582,"2021"
29,6170393,"2021"
30,1106366,"2021"
31,1964253,"2021"
32,3146632,"2021"
33,1387494,"2021"
34,9269175,"2021"
35,2116950,"2021"
36,19854526,"2021"
37,10567100,"2021"
38,777982,"2021"
39,11765227,"2021"
40,3991634,"2021"
41,4256465,"2021"
42,13013614,"2021"
44,1097092,"2021"
45,5193848,"2021"
46,896299,"2021"
47,6963709,"2021"
48,29561286,"2021"
49,3339284,"2021"
50,647093,"2021"
51,8657348,"2021"
53,7741433,"2021"
54,1785249,"2021"
55,5879978,"2021"
56,579548,"2021"
72,3262693,"2021"
