State Code,Population,Year
00,331526933,2020
00,57430477,2020
00,15057898,2020
00,42372579,2020
00,68969794,2020
00,47345074,2020
00,21624720,2020
00,126465281,2020
00,66174797,2020
00,19424519,2020
00,40865965,2020
00,78661381,2020
00,25004426,2020
00,53656955,2020
01,5031864,2020
02,732964,2020
04,7186683,2020
05,3014348,2020
06,39503200,2020
08,5785219,2020
09,3577586,2020
10,991862,2020
11,670839,2020
12,21591299,2020
13,10732390,2020
15,1451181,2020
16,1849339,2020
17,12790357,2020
18,6789098,2020
19,3190904,2020
20,2938124,2020
21,4508155,2020
22,4652022,2020
23,1364517,2020
24,6173689,2020
25,6997713,2020
26,10070627,2020
27,5710578,2020
28,2958409,2020
29,6154426,2020
30,1087211,2020
31,1963273,2020
32,3115840,2020
33,1378702,2020
34,9272392,2020
35,2118488,2020
36,20104710,2020
37,10453812,2020
38,779563,2020
39,11798292,2020
40,3965234,2020
41,4245044,2020
42,12995477,2020
44,1096444,2020
45,5132151,2020
46,887852,2020
47,6926091,2020
48,29234361,2020
49,3283982,2020
50,642936,2020
51,8637193,2020
53,7724566,2020
54,1791562,2020
55,5896700,2020
56,577664,2020
72,3281557,2020
